"ScopeId";"IPAddress";"HostName";"ClientID";"AddressState"
"172.16.16.0";"172.16.16.194";"PC-CLIENT-02.fsi-sinhal.com";"00-15-5d-00-36-25";"Active"
"172.16.16.0";"172.16.16.210";"pc-client-01.fsi-sinhal.com";"00-15-5d-00-36-01";"ActiveReservation"
